id,name,address,addressNumber,zipCode,districtCode,districtName,altitude,nearbyStations,location,stationType,lat,lon
303,303 MONTESITO-AV. INSURGENTES,303 - Montesito-Av. Insurgentes,S/N,3810,NAP,Nápoles,,"[301, 302, 304]","{'lat': 19.394842, 'lon': -99.173025}","BIKE,TPV",19.394842,-99.173025
304,304 MONTESITO-DAKOTA,304 - Montesito-Dakota,S/N,3810,NAP,Nápoles,,"[290, 303, 305]","{'lat': 19.395043, 'lon': -99.173821}",BIKE,19.395043,-99.173821
305,305 AVENIDA DEL PARQUE-ARIZONA,305 - Avenida Del Parque-Arizona,S/N,3810,NAP,Nápoles,,"[304, 306, 307]","{'lat': 19.394693, 'lon': -99.175531}","BIKE,TPV",19.394693,-99.175531
306,306 DAKOTA-FILADELFIA,306 - Dakota-Filadelfia,S/N,3810,NAP,Nápoles,,"[305, 307, 308]","{'lat': 19.393699, 'lon': -99.175664}","BIKE,TPV",19.393699,-99.175664
307,307 MINESOTA-DAKOTA,307 - Minesota-Dakota,S/N,3810,NAP,Nápoles,,"[305, 306, 308]","{'lat': 19.393701, 'lon': -99.175834}",BIKE,19.393701,-99.175834
308,308 NUEVA YORK-ARIZONA,308 - Nueva York-Arizona,S/N,3810,NAP,Nápoles,,"[306, 307, 309]","{'lat': 19.393594, 'lon': -99.178072}",BIKE,19.393594,-99.178072
309,309 PENNSYLVANIA-ARIZONA,309 - Pennsylvania-Arizona,S/N,3810,NAP,Nápoles,,"[308, 310, 313]","{'lat': 19.393162, 'lon': -99.17956}",BIKE,19.393162,-99.17956
295,295 ANAXÁGORAS-EJE 4 SUR XOLA,295 - Anaxágoras-Eje 4 Sur Xola,S/N,3020,NAR,Narvarte Poniente,,"[281, 296, 297]","{'lat': 19.396328, 'lon': -99.156871}","BIKE,TPV",19.396328,-99.156871
296,E296 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN,296 - Diagonal San Antonio-Enrique Rébsamen,S/N,3020,NAR,Narvarte Poniente,,"[295, 297, 300]","{'lat': 19.394283, 'lon': -99.158756}",ELECTRIC_BIKE,19.394283,-99.158756
297,297 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN,297 - Diagonal San Antonio-Enrique Rébsamen,S/N,3020,NAR,Narvarte Poniente,,"[295, 296, 320]","{'lat': 19.394412, 'lon': -99.158907}",BIKE,19.394412,-99.158907
320,320 ENRIQUE RÉBSAMEN-LUZ SAVIÑON,320 - Enrique Rébsamen-Luz Saviñon,S/N,3020,NAR,Narvarte Poniente,,"[296, 297, 319]","{'lat': 19.391323, 'lon': -99.15936}",BIKE,19.391323,-99.15936
321,321 TORRES ADALID-ANAXÁGORAS,321 - Torres Adalid-Anaxágoras,S/N,3020,NAR,Narvarte Poniente,,"[320, 322, 340]","{'lat': 19.389477, 'lon': -99.157513}",BIKE,19.389477,-99.157513
322,322 HERIBERTO FRÍAS-CONCEPCIÓN BEISTEGUI,322 - Heriberto Frías-Concepción Beistegui,S/N,3020,NAR,Narvarte Poniente,,"[321, 323, 339]","{'lat': 19.388528, 'lon': -99.160616}",BIKE,19.388528,-99.160616
280,280 ANAXÁGORAS-OBRERO MUNDIAL,280 - Anaxágoras-Obrero Mundial,S/N,3020,NAR,Narvarte Poniente,,"[276, 277, 281]","{'lat': 19.4015, 'lon': -99.156406}","BIKE,TPV",19.4015,-99.156406
281,281 PITÁGORAS-LA MORENA,281 - Pitágoras-La Morena,S/N,3020,NAR,Narvarte Poniente,,"[276, 280, 295]","{'lat': 19.398532, 'lon': -99.157308}",BIKE,19.398532,-99.157308
339,339 ENRIQUE RÉBSAMEN-AVENIDA EUGENIA,339 - Enrique Rébsamen-Avenida Eugenia,S/N,3020,NAR,Narvarte Poniente,,"[322, 340, 343]","{'lat': 19.386032, 'lon': -99.160548}",BIKE,19.386032,-99.160548
340,340 ANAXÁGORAS-AVENIDA EUGENIA,340 - Anaxágoras-Avenida Eugenia,S/N,3020,NAR,Narvarte Poniente,,"[339, 341, 343]","{'lat': 19.385571, 'lon': -99.158188}","BIKE,TPV",19.385571,-99.158188
341,341 SAN BORJA-AVENIDA CUAUHTEMOC,341 - San Borja-Avenida Cuauhtemoc,S/N,3020,NAR,Narvarte Poniente,,"[340, 343, 364]","{'lat': 19.382851, 'lon': -99.158204}",BIKE,19.382851,-99.158204
342,342 ANAXÁGORAS-ANGEL URRAZA EJE 6 SUR,342 - Anaxágoras-Angel Urraza Eje 6 Sur,S/N,3020,NAR,Narvarte Poniente,,"[341, 344, 359]","{'lat': 19.381076, 'lon': -99.159455}",BIKE,19.381076,-99.159455
343,343 ENRIQUE RÉBSAMEN-DIVISIÓN DEL NORTE,343 - Enrique Rébsamen-División Del Norte,S/N,3100,NAR,Narvarte Poniente,,"[338, 341, 344]","{'lat': 19.384099, 'lon': -99.160826}",BIKE,19.384099,-99.160826
354,354 BOSTON-AV. INSURGENTES,354 - Boston-Av. Insurgentes,S/N,3720,NBU,Noche Buena,,"[353, 361, 369]","{'lat': 19.381665, 'lon': -99.176685}",BIKE,19.381665,-99.176685
369,369 PORFIRIO DÍAZ-AV. INSURGENTES,369 - Porfirio Díaz-Av. Insurgentes,S/N,3740,NBU,Noche Buena,,"[367, 368]","{'lat': 19.379884, 'lon': -99.177478}","BIKE,TPV",19.379884,-99.177478
366,366 PORFIRIO DÍAZ-AUGUSTO RODÍN,366 - Porfirio Díaz-Augusto Rodín,S/N,3740,NBU,Noche Buena,,"[362, 367, 368]","{'lat': 19.378345, 'lon': -99.181973}",BIKE,19.378345,-99.181973
367,367 BOSTON -AUGUSTO RODÍN,367 - Boston -Augusto Rodín,S/N,3720,NBU,Noche Buena,,"[362, 363, 366]","{'lat': 19.37946, 'lon': -99.181632}",BIKE,19.37946,-99.181632
276,276 ANAXÁGORAS-OBRERO MUNDIAL,276 - Anaxágoras-Obrero Mundial,S/N,3020,PNA,Piedad Narvarte,,"[277, 280, 281]","{'lat': 19.401986, 'lon': -99.156366}",BIKE,19.401986,-99.156366
277,277 AMPLIACIÓN TONALÁ-OBRERO MUNDIAL,277 - Ampliación Tonalá-Obrero Mundial,S/N,3020,PNA,Piedad Narvarte,,"[165, 276, 280]","{'lat': 19.401807, 'lon': -99.15909}",BIKE,19.401807,-99.15909
36,36 PUEBLA-VERACRUZ,036 - Puebla - Veracruz,S/N,06140,PNA,Piedad Narvarte,,"[37, 41, 44]","{'lat': 19.419725, 'lon': -99.175778}","BIKE,TPV",19.419725,-99.175778
